Index,Phylotype,Sub-Phylotype,Sequevar,Sub-sequevar designation,Strainname,Alt Names,"Environmental Source (Soil, Water, unknown plants)",Host Species (Common name),Host Species ,Host Genus,Host Family,Host Order,Year isolated,Latitude,Longitude,Location Isolated,Location (Country or Territory),Location (subcontinent),Location (continent),Imported Location,Genome Accession,Genome Level,Sequencing Tech,egl accession,mutS accession,other accession,Citation,Year published,Data entered by,Comments
1,,,,"""SFR"" (Probably phyl. II, possibly sequevar 4)",,,,Asclepias curassavica (Mexican Butterfly Weed),Asclepias curassavica,Asclepias,Apocynaceae,Gentianales,,14.76166445,-86.92164089,Honduras,Honduras,Central America,North America,,,,,,,,"Berg 1971, https://www.apsnet.org/publications/phytopathology/backissues/Documents/1971Abstracts/Phyto61_1314.htm",1971,Tiffany Lowe-Power,
2,,,,"""SFR"" (Probably phyl. II, possibly sequevar 4)",,,,Cecropia peltata (Trumpet Tree),Cecropia peltata,Cecropia,Urticaceae,Rosales,,14.76166445,-86.92164089,Honduras,Honduras,Central America,North America,,,,,,,,"Berg 1971, https://www.apsnet.org/publications/phytopathology/backissues/Documents/1971Abstracts/Phyto61_1314.htm",1971,Tiffany Lowe-Power,
3,,,,"""SFR"" (Probably phyl. II, possibly sequevar 4)",,,,Piper auritum (Mexican Pepperleaf),Piper auritum,Piper,Piperaceae,Piperales,,14.76166445,-86.92164089,Honduras,Honduras,Central America,North America,,,,,,,,"Berg 1971, https://www.apsnet.org/publications/phytopathology/backissues/Documents/1971Abstracts/Phyto61_1314.htm",1971,Tiffany Lowe-Power,
4,,,,"""SFR"" (Probably phyl. II, possibly sequevar 4)",,,,Piper peltatum (Cordoncillo),Piper peltatum,Piper,Piperaceae,Piperales,,14.76166445,-86.92164089,Honduras,Honduras,Central America,North America,,,,,,,,"Berg 1971, https://www.apsnet.org/publications/phytopathology/backissues/Documents/1971Abstracts/Phyto61_1314.htm",1971,Tiffany Lowe-Power,
5,,,,"""SFR"" (Probably phyl. II, possibly sequevar 4)",,,,Ricinus communis (Castor Bean),Ricinus communis,Ricinus,Euphorbiaceae,Malpighiales,,14.76166445,-86.92164089,Honduras,Honduras,Central America,North America,,,,,,,,"Berg 1971, https://www.apsnet.org/publications/phytopathology/backissues/Documents/1971Abstracts/Phyto61_1314.htm",1971,Tiffany Lowe-Power,
6,,,,"""SFR"" (Probably phyl. II, possibly sequevar 4)",,,,Solanum hirtum,Solanum hirtum,Solanum,Solanaceae,Solanales,,14.76166445,-86.92164089,Honduras,Honduras,Central America,North America,,,,,,,,"Berg 1971, https://www.apsnet.org/publications/phytopathology/backissues/Documents/1971Abstracts/Phyto61_1314.htm",1971,Tiffany Lowe-Power,
7,,,,"""SFR"" (Probably phyl. II, possibly sequevar 4)",,,,Solanum nigrum (Black Nightshade),Solanum nigrum,Solanum,Solanaceae,Solanales,,14.76166445,-86.92164089,Honduras,Honduras,Central America,North America,,,,,,,,"Berg 1971, https://www.apsnet.org/publications/phytopathology/backissues/Documents/1971Abstracts/Phyto61_1314.htm",1971,Tiffany Lowe-Power,
8,,,,"""SFR"" (Probably phyl. II, possibly sequevar 4)",,,,Solanum umbellatum (Borrachero),Solanum umbellatum,Solanum,Solanaceae,Solanales,,14.76166445,-86.92164089,Honduras,Honduras,Central America,North America,,,,,,,,"Berg 1971, https://www.apsnet.org/publications/phytopathology/backissues/Documents/1971Abstracts/Phyto61_1314.htm",1971,Tiffany Lowe-Power,
9,,,,"""SFR"" (Probably phyl. II, possibly sequevar 4)",,,,Solanum verbascifolium (Potato Tree),Solanum verbascifolium,Solanum,Solanaceae,Solanales,,14.76166445,-86.92164089,Honduras,Honduras,Central America,North America,,,,,,,,"Berg 1971, https://www.apsnet.org/publications/phytopathology/backissues/Documents/1971Abstracts/Phyto61_1314.htm",1971,Tiffany Lowe-Power,
10,,,,"""SFR"" (Probably phyl. II, possibly sequevar 4)",,,,Xanthosoma roseum (Elephant's Ear),Xanthosoma roseum,Xanthosoma,Araceae,Alismatales,,14.76166445,-86.92164089,Honduras,Honduras,Central America,North America,,,,,,,,"Berg 1971, https://www.apsnet.org/publications/phytopathology/backissues/Documents/1971Abstracts/Phyto61_1314.htm",1971,Tiffany Lowe-Power,
