Phylotype,Host Species (Common name),Host Species ,Host Genus,Host Family,Host Order,Year isolated,Latitude,Longitude,Location Isolated,Location (Country or Territory),Location (subcontinent),Location (continent),Imported Location,Citation,Year published
I,Anthurium sp. (Laceleaf),,Anthurium,Araceae,Alismatales,2003,14.402,-61.095,"Saint Joseph, Martinique Island, French West Indes, France",France,Caribbean,North America,,"Wicker 2007, https://doi.org/10.1128/AEM.00841-07",2007
I,Rosa sp. (Rose),,Rosa,Rosaceae,Rosales,2016,51.9194,19.1451,Poland,Poland,Central Europe,Europe,,Greenrod et al. 2022 https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-022-08909-7,2022
I,Solanum macrocarpon (African Eggplant),Solanum macrocarpon,Solanum,Solanaceae,Solanales,2014,6.423545,2.356495,"Abomey-Calavi area (Atlantic District), Benin",Benin,Western Africa,Africa,,"Sikirou 2015, https://doi.org/10.1094/PDIS-02-15-0213-PDN",2015
I,Curcuma longa (Turmeric),Curcuma longa,Curcuma,Zingiberaceae,Zingiberales,1988,-6.17555357,106.8272159,Indonesia,Indonesia,South-Eastern Asia,Asia,,"Waki 2013, https://doi.org/10.6090/jarq.47.283",2013
II,Impatiens hawkerii (Impatiens),Impatiens hawkerii,Impatiens,Balsaminaceae,Ericales,2002,14.402,-61.095,"Morne Rouge, Martinique Island, French West Indes, France",France,Caribbean,North America,,"Wicker 2007, https://doi.org/10.1128/AEM.00841-07",2007
II,Nicotiana sp. (Tobacco),,Nicotiana,Solanaceae,Solanales,1954,38.7946,106.5348,United States,United States (Continental),Northern America,North America,,Greenrod et al. 2022 https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-022-08909-7,2022
II,Solanum dulcamara (Bittersweet Nightshade),Solanum dulcamara,Solanum,Solanaceae,Solanales,1996,51.97246649,5.613490612,Netherlands,Netherlands,Western Europe,Europe,,"NCBI Assembly (Ralstonia solanacearum), Accessed 2022 https://www.ncbi.nlm.nih.gov/genome/browse/#!/prokaryotes/490/",
II,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,,9.593959887,8.10530641,Nigeria,Nigeria,Western Africa,Africa,,"Smith 1995, doi.org/10.1128/aem.61.12.4263-4268.1995",1995
II,Solanum tuberosum (Potato),Solanum tuberosum,Solanum,Solanaceae,Solanales,,26.49418383,29.87190345,Egypt,Egypt,Northern Africa,Africa,,"Smith 1995, doi.org/10.1128/aem.61.12.4263-4268.1995",1995
II,Zingiber officinale (Ginger),Zingiber officinale,Zingiber,Zingiberaceae,Zingiberales,,21.304547,-157.855676,"Hawaii, United States",United States (Hawaii),Polynesia,Oceania,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011
III,Capsicum annuum (Pepper),Capsicum annuum,Capsicum,Solanaceae,Solanales,2003,8.88333,37.7499999,"Mutulu, Kenya",Kenya,Eastern Africa,Africa,,"Ayana 2016, https://www.researchgate.net/profile/Muluken_Goftishu/publication/315537001_Evaluation_of_Neem_Seed_and_Citrus_Peel_Powder_for_the_Management_of_Maize_Weevil_Sitophilus_zeamais_Motsch_Coleoptera_Curculionidae_in_Sorghum/links/59079aa20f7e9bc0d59a7d10/Evaluation-of-Neem-Seed-and-Citrus-Peel-Powder-for-the-Management-of-Maize-Weevil-Sitophilus-zeamais-Motsch-Coleoptera-Curculionidae-in-Sorghum.pdf#page=7",2016
III,Nicotiana tabacum (Tobacco),Nicotiana tabacum,Nicotiana,Solanaceae,Solanales,,-14.00490828,27.43067517,Zambia,Zambia,Southern Africa,Africa,,"Prior 2005, https://doi.org/10.17660/ActaHortic.2005.695.14",2005
III,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,,5.158664,10.179748,"Bafang, Cameroon",Cameroon,Middle Africa,Africa,,"Toukam 2009, https://doi.org/10.1094/PDIS-93-11-1123",2009
IV,Solanum tuberosum (Potato),Cornus mas,Cornus,Cornaceae,Cornales,2017-2019,-5.1342962,119.4124282,"South Sulawesi, Indonesia",Indonesia,South-Eastern Asia,Asia,,"Rincón-Flórez 2022, https://doi.org/10.1094/PDIS-07-21-1436-RE",2022
IV,Pelargonium sp. (Geranium),,Pelargonium,Geraniaceae,Geraniales,2017-2019,-5.1342962,119.4124282,"South Sulawesi, Indonesia",Indonesia,South-Eastern Asia,Asia,,"Rincón-Flórez 2022, https://doi.org/10.1094/PDIS-07-21-1436-RE",2022
IV,Musa acuminata (Banana),Musa acuminata,Musa,Musaceae,Zingiberales,2017-2019,-8.6524973,115.2191175,"Bali, Indonesia",Indonesia,South-Eastern Asia,Asia,,"Rincón-Flórez 2022, https://doi.org/10.1094/PDIS-07-21-1436-RE",2022
