geocode_query,longitude,latitude,match_name,status_code,error_message
"AEZ1, Madagascar",46.705984,-19.373534,Madagascar,200,NA
"AEZ10, Madagascar",46.705984,-19.373534,Madagascar,200,NA
"AEZ11, Madagascar",46.705984,-19.373534,Madagascar,200,NA
"AEZ12, Madagascar",46.705984,-19.373534,Madagascar,200,NA
"AEZ2, Madagascar",46.705984,-19.373534,Madagascar,200,NA
"AEZ3, Madagascar",46.705984,-19.373534,Madagascar,200,NA
"AEZ4, Madagascar",46.705984,-19.373534,Madagascar,200,NA
"AEZ5, Madagascar",46.705984,-19.373534,Madagascar,200,NA
"AEZ6, Madagascar",46.705984,-19.373534,Madagascar,200,NA
"AEZ7, Madagascar",46.705984,-19.373534,Madagascar,200,NA
"AEZ8, Madagascar",46.705984,-19.373534,Madagascar,200,NA
"AEZ9, Madagascar",46.705984,-19.373534,Madagascar,200,NA
"Akhalcikhe, Georgia, Georgia",43.517448,42.176311,Georgia,200,NA
"Akhalqalaki, Georgia, Georgia",43.517448,42.176311,Georgia,200,NA
"Atochi (PA Banki), Cameroon, Cameroon",12.213754,4.806512,Cameroon,200,NA
"Belle Vue, Mauritius, Mauritius",57.502513,-20.163857,Mauritius,200,NA
"Bellefontaine, Martinique Island, French West Indes, Martinique",14.641528,-61.024174,Martinique,200,NA
"Carbet, Martinique Island, French West Indes, France, Martinique",14.641528,-61.024174,Martinique,200,NA
"Case Pilote, Martinique Island, French West Indes, France, Martinique",14.641528,-61.024174,Martinique,200,NA
"Ceylon, Sri Lanka, Sri Lanka",80.704727,7.608085,Sri Lanka,200,NA
"Chkorotsku, Georgia, Georgia",43.517448,42.176311,Georgia,200,NA
"Chungnam, South Korea, South Korea",35.907757,127.766922,South Korea,200,NA
"Coamo Farm, Malaysia, Malaysia",4.210484,101.975766,Malaysia,200,NA
"Coconi, Mayotte Island, France, Mayotte Island",-12.8275,45.166244,Mayotte,200,NA
"Combani, Mayotte Island, France, Mayotte Island",-12.8275,45.166244,Mayotte,200,NA
"Cyprus, Republic of Cyprus",35.126413,33.429859,Cyprus,200,NA
"Dembeni, Mayotte Island, France, Mayotte Island",-12.8275,45.166244,Mayotte,200,NA
